Name             Version       Source Updated             Info
----             -------       ------ -------             ----
7zip             25.01         main   2025-08-04 23:30:50 
bat              0.25.0        main   2025-01-08 13:18:20 
dark             3.14.1        main   2025-04-19 12:07:00 
everything       1.4.1.1029    extras 2025-10-13 19:44:39 
ffmpeg           8.0           main   2025-08-23 12:00:27 
fnm              1.38.1        main   2024-11-20 13:14:39 
fzf              0.66.0        main   2025-10-13 19:44:44 
gh               2.81.0        main   2025-10-04 23:07:29 
ghq              1.8.0         main   2025-03-26 14:03:04 
git              2.51.0.2      main   2025-10-01 10:59:25 
glow             2.1.1         main   2025-06-01 08:25:46 
goneovim         0.6.16        extras 2025-08-10 18:13:34 
jq               1.8.1         main   2025-07-02 09:36:57 
neovide          0.15.2        extras 2025-09-23 09:37:27 
neovim           0.11.4        main   2025-09-01 15:28:37 
pnpm             10.18.3       main   2025-10-15 19:34:08 
psFzf            2.7.2         extras 2025-10-07 18:01:48 
ripgrep          14.1.1        main   2024-09-09 14:01:00 
rustup           1.28.2        main   2025-04-16 18:42:40 
scoop-completion 0.3.0         extras 2024-02-14 14:42:19 
sd               1.0.0         main   2023-11-26 18:12:55 
starship         1.23.0        main   2025-04-28 17:28:13 
vcredist2022     14.44.35211.0 extras 2025-07-09 14:43:16 
yt-dlp           2025.10.14    main   2025-10-15 19:34:16 
